epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,526.363,0.66368,0.95691,0.88594,0.95236,0.83333,0.88833,0.67432,0.99405,2.56713,1.04227,0.000816425,0.000816425,0.000816425
44,542.299,0.70506,1.22952,1.03459,1,0.75737,0.87864,0.67498,0.99346,2.49508,1.05931,0.000814102,0.000814102,0.000814102
45,554.784,0.71036,1.20439,0.92499,1,0.75737,0.87864,0.67498,0.99346,2.49508,1.05931,0.00081079,0.00081079,0.00081079
46,566.622,0.65512,1.09672,0.92479,0.98175,0.83333,0.931,0.70744,1.00214,2.39619,1.0968,0.000806487,0.000806487,0.000806487
47,578.714,0.58485,1.05243,0.96514,0.98175,0.83333,0.931,0.70744,1.00214,2.39619,1.0968,0.000801195,0.000801195,0.000801195
48,591.636,0.65802,1.02523,0.87744,0.82563,0.79483,0.88051,0.67442,0.96243,2.31448,1.07337,0.000794913,0.000794913,0.000794913
49,603.251,0.60669,0.92177,0.86511,0.82563,0.79483,0.88051,0.67442,0.96243,2.31448,1.07337,0.00078764,0.00078764,0.00078764
50,615.528,0.55278,0.96899,0.92275,1,0.62957,0.80997,0.56758,1.01492,2.16969,1.16359,0.000779377,0.000779377,0.000779377
51,626.932,0.64917,0.90828,0.89792,1,0.62957,0.80997,0.56758,1.01492,2.16969,1.16359,0.0007625,0.0007625,0.0007625
52,637.736,0.60543,0.9288,0.86797,0.72687,0.66667,0.83214,0.5933,0.95444,2.02616,1.15735,0.00073775,0.00073775,0.00073775
53,648.81,0.59079,0.96167,0.88311,0.72687,0.66667,0.83214,0.5933,0.95444,2.02616,1.15735,0.000713,0.000713,0.000713
54,659.255,0.51454,0.84762,0.86988,0.49949,0.83333,0.78838,0.563,0.96041,2.00129,1.08115,0.00068825,0.00068825,0.00068825
55,669.631,0.69612,1.18681,0.9795,0.49949,0.83333,0.78838,0.563,0.96041,2.00129,1.08115,0.0006635,0.0006635,0.0006635
56,679.979,0.62209,1.21525,0.90466,0.42244,0.66667,0.64661,0.47502,0.95696,2.20728,1.06148,0.00063875,0.00063875,0.00063875
57,690.476,0.56125,0.9789,0.88604,0.42244,0.66667,0.64661,0.47502,0.95696,2.20728,1.06148,0.000614,0.000614,0.000614
58,700.957,0.71072,1.04706,0.9361,0.56822,0.65918,0.57733,0.43348,0.9321,2.46714,1.09996,0.00058925,0.00058925,0.00058925
59,711.279,0.76529,1.04472,1.00833,0.56822,0.65918,0.57733,0.43348,0.9321,2.46714,1.09996,0.0005645,0.0005645,0.0005645
60,721.889,0.56108,0.91642,0.91056,0.42248,0.73535,0.64584,0.48955,0.91162,2.53792,1.07116,0.00053975,0.00053975,0.00053975
61,732.513,0.47793,0.93265,0.87753,0.42248,0.73535,0.64584,0.48955,0.91162,2.53792,1.07116,0.000515,0.000515,0.000515
62,742.917,0.74425,0.9864,1.00991,0.44776,1,0.65231,0.44599,0.90122,2.43772,1.05149,0.00049025,0.00049025,0.00049025
63,753.644,0.60771,0.91457,0.91464,0.44776,1,0.65231,0.44599,0.90122,2.43772,1.05149,0.0004655,0.0004655,0.0004655
64,764.351,0.51037,1.00867,0.92674,0.49235,0.83333,0.6341,0.47339,0.88321,2.34553,1.04313,0.00044075,0.00044075,0.00044075
65,775.111,0.56487,0.99287,0.90087,0.49235,0.83333,0.6341,0.47339,0.88321,2.34553,1.04313,0.000416,0.000416,0.000416
66,785.933,0.45605,0.88763,0.82781,0.45199,0.66667,0.62914,0.48316,0.85646,2.26647,1.05299,0.00039125,0.00039125,0.00039125
67,796.512,0.50112,0.87351,0.86508,0.45199,0.66667,0.62914,0.48316,0.85646,2.26647,1.05299,0.0003665,0.0003665,0.0003665
68,806.86,0.51843,1.02993,0.89513,0.65635,0.66667,0.651,0.51325,0.80454,2.26011,1.05652,0.00034175,0.00034175,0.00034175
